,,,Madrid,,,,Bologna,,,,London,,,,København,,Berlin,,,,København,
,Song,count,4.11.,5.11.,7.11.,8.11.,14.11.,15.11.,17.11.,18.11.,21.11.,22.11.,24.11.,25.11.,04.12.,05.12.,8.12.,9.12.,11.12.,12.12.,15.12.,16.12.
The Bends,Fake Plastic Trees,11,19,,19,,19,,19,,19,,19,,19,,19,,19,9,19,
The Bends,Planet Telex,10,,21,1,,1,,1,,1,,1,,1,,1,,1,,1,
The Bends,The Bends,10,,2,,8,,8,,8,,8,,8,,8,,8,,3,,3
The Bends,Street Spirit,10,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18
The Bends,(Nice Dream),4,,14,,21,,21,,,,,,,16,,,,,,,
The Bends,Just,10,,,24,,24,,24,,24,,24,,24,,24,,24,15,24,
Street Spirit,Talk Show Host,1,,,,,,,13,,,,,,,,,,,,,
OK Computer,Let Down,20,1,19,20,19,20,19,20,19,20,19,16,19,17,19,17,19,17,19,17,19
OK Computer,Paranoid Android,20,21,24,21,24,21,24,21,24,21,24,21,24,21,24,21,24,22,24,21,15
OK Computer,Lucky,10,5,,5,,5,,5,,4,,4,,4,,4,,4,,4,
OK Computer,No Surprises,19,9,,9,14,9,14,9,14,9,14,8,14,8,14,8,14,25,14,25,14
OK Computer,Subterranean Homesick Alien,3,20,,16,,16,,,,,,,,,,,,,,,
OK Computer,Karma Police,10,25,,25,,25,,25,,25,,25,,25,,25,,,25,,25
OK Computer,Airbag,10,,8,,2,,2,,2,,2,,2,,2,,2,,2,,2
OK Computer,Exit Music (For a Film),12,,17,,17,,17,,17,,17,,17,,17,,17,16,17,16,17
OK Computer ,Climbing Up The Walls,1,,,,,,,,,,,17,,,,,,,,,
Kid A,Everything in Its Right Place,15,12,25,12,25,12,25,12,25,13,25,12,,12,,12,,12,,12,
Kid A,Idioteque,18,18,12,18,12,18,,,21,12,21,11,21,11,21,11,21,11,21,11,20
Kid A,The National Anthem,9,14,,14,,14,,14,,14,,14,,14,,14,,21,,,
Kid A,How to Disappear Completely,3,22,,,,,,16,,,,,,,,,23,,,,
Kid A,Optimistic ,7,,,,15,,15,,15,,15,,15,,15,,15,,,,
Kid A,Kid A,7,,,,,,,8,,8,,7,,7,,7,,7,,7,
Amnesiac,You and Whose Army?,20,23,11,22,11,22,11,22,11,22,11,23,11,23,11,23,11,23,11,22,11
Amnesiac,Pyramid Song,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10
Amnesiac,Like Spinning Plates,2,,,,,,,,,,,,23,,23,,,,,,
HTTT,There There,13,24,15,8,16,8,16,18,16,18,,,25,,25,,25,,,,24
HTTT,2 + 2 = 5,20,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
HTTT,Myxomatosis,10,8,16,,13,,13,,13,,13,,13,,13,,13,,,,21
HTTT,The Gloaming,12,7,,7,,7,,7,,7,,6,,6,,6,,6,13,6,13
HTTT,A Wolf at the Door,7,16,,23,,23,,23,,23,,,,,,22,,,,23,
HTTT,Sit Down. Stand Up,18,3,,3,,3,12,3,12,3,12,3,12,3,12,3,12,3,12,3,12
In Rainbows,Bodysnatchers,17,17,13,17,,17,,17,,17,16,18,16,18,16,18,16,18,16,18,16
In Rainbows,Weird Fishes/Arpeggi,20,11,20,11,20,11,20,11,20,11,20,10,20,10,20,10,20,10,20,10,9
In Rainbows,Videotape,10,10,,10,,10,,10,,10,,9,,9,,9,,8,,8,
In Rainbows,15 Step,10,13,,13,,13,,6,,6,,5,,5,,5,,5,,5,
In Rainbows,Jigsaw Falling Into Place,16,,3,,3,,3,,3,16,3,20,3,20,3,20,3,20,23,20,23
In Rainbows,All I Need,13,,4,,4,,4,,4,,4,22,4,22,4,16,4,,4,,4
In Rainbows,Nude,12,,6,,6,,6,,6,,6,,6,,6,,6,9,6,9,6
In Rainbows,Reckoner,10,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7
King of Limbs,Bloom,10,4,,4,,4,,4,,5,,13,,13,,13,,13,,13,
King of Limbs,Separator,10,,9,,9,,9,,9,,9,,9,,9,,9,,8,,8
King of Limbs Basement,The Daily Mail,5,,23,,23,,23,,23,,23,,,,,,,,,,
AMSP,Ful Stop,15,6,5,6,5,6,5,,5,,5,,5,,5,,5,14,5,14,5
AMSP,Daydreaming,10,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,
AMSP,Present Tense,10,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22
,,,,,,,,,,,,,,,,,,,,,,
,,,Spotify-Playlist:,,,https://open.spotify.com/playlist/4P4bcPUthyWCMUtqQK5fto?si=j-n4inBTTjKh5XdV6aoPvQ&pi=FnDu-UjxS96Nf,,,,,,,,,,,,,,,,
,,,The numbers show the order of appearance of the given song at that show. ,,,,,,,,,,,,,,,,,,,
,,,All Data coming from setlist.fm.,,,,,,,,,,,,,,,,,,,
,,,Visualized by Daniel Cloutier.,,,,,,,,,,,,,,,,,,,
